fips,county,state,state_name,lat,lon,land_sq_mi,population,septic_dominant_class,septic_dominant_share_pct,septic_very_limited_pct
29171,Putnam County,MO,Missouri,40.4786,-93.0145,517.319,4539,Very limited,99.3,99.3
13249,Schley County,GA,Georgia,32.2634,-84.3227,166.909,4503,,,
08095,Phillips County,CO,Colorado,40.5947,-102.3451,687.928,4488,Very limited,68.2,68.2
31123,Morrill County,NE,Nebraska,41.7322,-102.9906,1423.706,4485,Very limited,68.8,68.8
32021,Mineral County,NV,Nevada,38.5166,-118.4163,3751.283,4475,,,
31065,Furnas County,NE,Nebraska,40.1923,-99.9086,719.204,4468,Very limited,58.3,58.3
48267,Kimble County,TX,Texas,30.4795,-99.7464,1250.98,4401,Very limited,95.3,95.3
46091,Marshall County,SD,South Dakota,45.737,-97.5809,838.085,4395,Very limited,83.4,83.4
21105,Hickman County,KY,Kentucky,36.6759,-88.9721,242.331,4393,,,
35019,Guadalupe County,NM,New Mexico,34.8697,-104.7849,3029.772,4385,Very limited,62.5,62.5
42023,Cameron County,PA,Pennsylvania,41.4383,-78.1983,396.234,4348,,,
32017,Lincoln County,NV,Nevada,37.6346,-114.863,10633.386,4345,,,
46039,Deuel County,SD,South Dakota,44.7563,-96.6902,622.739,4335,Very limited,97.1,97.1
55078,Menominee County,WI,Wisconsin,44.9913,-88.6693,357.615,4286,Very limited,88,88
40043,Dewey County,OK,Oklahoma,35.978,-99.0144,999.628,4268,Very limited,88.7,88.7
29087,Holt County,MO,Missouri,40.0957,-95.2191,462.696,4241,Very limited,78.4,78.4
17013,Calhoun County,IL,Illinois,39.1643,-90.6663,253.829,4224,Very limited,63.3,63.3
30071,Phillips County,MT,Montana,48.2501,-107.9289,5140.422,4214,,,
40053,Grant County,OK,Oklahoma,36.7883,-97.7882,1000.74,4123,Very limited,80.9,80.9
32029,Storey County,NV,Nevada,39.4384,-119.5246,263.8,4112,,,
46053,Gregory County,SD,South Dakota,43.1751,-99.2066,1014.95,4110,Very limited,91.8,91.8
